해당함수,시스템콜 목록,CVE(패치버전) 목록
ext4_es_insert_delayed_block,write,CVE-2023-45898(6.5.3)
filemap_fault,mmap,CVE-2014-8171(?)
ext4_page_mkwrite,mmap,CVE-2015-8839(?)
__dquot_free_space,unlink,CVE-2024-26878(?)
dquot_claim_space_nodirty,msync,CVE-2024-26878(?)
ext4_can_truncate,"ftruncate, truncate, unlink",CVE-2015-8839(?)
__ext4_ext_check,"ftruncate, truncate, unlink",CVE-2022-48631(?)
copy_from_kernel_nofault_allowed,getcwd,CVE-2024-26906(?)
fcntl_setlk,fcntl,CVE-2024-41012(?)
posix_lock_inode,"close, fcntl",CVE-2024-41049(?)
inet_csk_listen_start,listen,CVE-2023-0461(6.1.1)
connect,clock_nanosleep,CVE-2020-29568(?)
__inet_hash_connect,connect,CVE-2024-26864(?)
secure_tcp_seq,connect,CVE-2022-32296(5.17.8)
tcp_connect,connect,CVE-2019-15239(?)
tcp_v4_do_rcv,"close, connect",CVE-2021-47103(?)
tcp_ack,"close, connect",CVE-2023-52881(?)
tcp_clean_rtx_queue,"close, connect",CVE-2019-15239(?)
tcp_schedule_loss_probe,"close, connect",CVE-2019-15239(?)
inet_sk_rx_dst_set,connect,CVE-2021-47103(?)
tcp_init_transfer,connect,CVE-2021-47304(?)
tcp_send_fin,close,CVE-2024-36905(?)
tcp_write_xmit,close,CVE-2019-15239(?)
unix_dgram_recvmsg,recvmsg,CVE-2021-0920(?)
wait_for_unix_gc,sendmsg,CVE-2022-2602(?)
maybe_add_creds,sendmsg,CVE-2024-36972(?)
unix_getname,accept,CVE-2021-0920(?)
unix_stream_sendmsg,sendmsg,CVE-2024-38596(?)
unix_stream_read_generic,recvmsg,CVE-2021-20265(?)
tcp_v6_connect,connect,CVE-2022-3566(?)
ipv6_dev_get_saddr,connect,CVE-2022-48785(?)
secure_ipv6_port_ephemeral,connect,CVE-2022-32296(5.17.8)
secure_tcpv6_seq,connect,CVE-2022-32296(5.17.8)
ip6_xmit,"close, connect",CVE-2024-44985(?)
ip6_output,"close, connect",CVE-2024-36901(?)
ip6_finish_output2,"close, connect",CVE-2024-44986(?)
tcp_v6_do_rcv,"close, connect",CVE-2021-47103(?)
inet6_sk_rx_dst_set,connect,CVE-2021-47103(?)
unix_seqpacket_sendmsg,sendmsg,CVE-2024-26732(?)
do_prlimit,prlimit64,CVE-2023-0458(6.1.7)
set_user_nice,setpriority,CVE-2022-48944(?)
do_mbind,mbind,CVE-2023-4611(6.4.7)
do_sys_ftruncate,ftruncate,CVE-2024-42084(?)
unmap_mapping_pages,"fallocate, ftruncate, truncate",CVE-2023-3269(6.3.10)
ext4_fallocate,fallocate,CVE-2015-8839(?)
ext4_alloc_file_blocks,fallocate,CVE-2015-8839(?)
ext4_chunk_trans_blocks,fallocate,CVE-2015-8839(?)
ext4_zero_range,fallocate,CVE-2015-8839(?)
truncate_pagecache_range,fallocate,CVE-2017-15121(?)
aio_setup_ring,io_setup,CVE-2024-35815(?)
find_key_to_update,add_key,CVE-2020-14353(?)
