해당함수,시스템콜 목록,CVE(패치버전) 목록
__tcp_close,close,CVE-2024-36905(?)
tcp_v4_destroy_sock,close,CVE-2019-3837(?)
inet_csk_clear_xmit_timers,close,CVE-2024-35910(?)
tcp_write_queue_purge,"close, connect",CVE-2019-15239(?)
tcp_chrono_stop,"close, connect",CVE-2019-15239(?)
udp_init_sock,"socket, unshare",CVE-2024-26732(?)
udp_destroy_sock,close,CVE-2021-47248(?)
jbd2_journal_dirty_metadata,"bind, chmod, connect, creat, fallocate, fchmodat, fremovexattr, fsetxattr, ftruncate, futimesat, linkat, lremovexattr, lsetxattr, mkdir, mknod, mknodat, mmap, msync, openat, readlinkat, removexattr, renameat, renameat2, sendmsg, setxattr, symlink, truncate, unlink, utime, utimensat, utimes, write, writev",CVE-2018-10883(4.9.109)
ext4_group_desc_csum,"bind, creat, fallocate, mkdir, mknod, mknodat, msync, openat, symlink, unlink",CVE-2023-34256(6.3.2)
dquot_alloc_inode,"bind, creat, mkdir, mknod, mknodat, openat, symlink",CVE-2024-26878(?)
ext4_ext_tree_init,"creat, mkdir, mknod, mknodat, openat, symlink",CVE-2022-0850(5.13.1)
__ext4_get_inode_loc,"bind, chmod, connect, creat, fallocate, fchmodat, fremovexattr, fsetxattr, ftruncate, futimesat, linkat, lremovexattr, lsetxattr, mkdir, mknod, mknodat, mmap, msync, openat, readlinkat, removexattr, renameat, renameat2, sendmsg, setxattr, symlink, truncate, unlink, utime, utimensat, utimes, write, writev",CVE-2018-10882(?)
fscrypt_setup_filename,"bind, creat, linkat, mkdir, mknod, mknodat, openat, renameat, renameat2, symlink, unlink",CVE-2017-7374(4.10.6)
ext4_map_blocks,"bind, creat, fallocate, getdents64, linkat, mkdir, mknod, mknodat, msync, openat, renameat, renameat2, swapon, symlink, unlink",CVE-2017-7495(4.6.1)
vfs_rename,"renameat, renameat2",CVE-2017-7533(4.12.4)
ext4_unlink,unlink,CVE-2019-19447(5.4.3)
dquot_free_inode,unlink,CVE-2024-26878(?)
ext4_es_remove_extent,"ftruncate, truncate, unlink",CVE-2023-45898(6.5.3)
fscrypt_put_encryption_info,unlink,CVE-2017-7374(4.10.6)
put_crypt_info,unlink,CVE-2017-7374(4.10.6)
dup_mmap,clone,CVE-2024-27022(?)
anon_vma_fork,clone,CVE-2022-42703(5.19.6)
anon_vma_clone,"clone, mprotect, mremap",CVE-2022-42703(5.19.6)
__vma_link_rb,"clone, io_setup, mmap, mprotect, mremap, shmat",CVE-2017-1000379(4.11.6)
add_device_randomness,"clock_adjtime, clock_settime, clone, unshare, wait4",CVE-2018-1108(4.16)
free_pipe_info,close,CVE-2022-0995(5.16.4)
read,"close, write",CVE-2024-42121(?)
pipe_read,read,CVE-2022-0995(5.16.4)
kill_something_info,kill,CVE-2018-10124(4.12.14)
kernel_wait4,wait4,CVE-2018-10087(4.12.14)
ext4_setattr,"chmod, fchmodat, ftruncate, futimesat, truncate, utime, utimensat, utimes",CVE-2015-8839(?)
inode_io_list_move_locked,"chmod, connect, fallocate, fchmodat, ftruncate, futimesat, mkdir, readlinkat, sendmsg, truncate, utime, utimensat, utimes, write",CVE-2024-0562(?)
put_ucounts,"access, clone, close, faccessat, inotify_rm_watch, mq_unlink, shmctl, socket, unshare",CVE-2022-24122(5.16.4)
__queue_delayed_work,"close, fremovexattr, fsetxattr, inotify_rm_watch, lremovexattr, lsetxattr, removexattr, setsockopt, setxattr, sync",CVE-2017-5967(?)
ext4_es_find_extent_range,"fallocate, mkdir, write",CVE-2024-43828(?)
